"","MA","SES","Arima","Structural","NN","Best Method","Worst Method","MLL Method","Minimum Accuracy","Maximum Accuracy","Average Accuracy"
"1",7.61,11.39,17.14,7.48,9.27,4,3,1,7.48,17.14,10.58
"2",4.45,4.67,4.74,4.67,5.07,1,5,5,4.45,5.07,4.72
"3",6.93,9.52,16.19,6.79,9.56,4,3,1,6.79,16.19,9.8
"4",7.14,10.17,6.88,6.84,5.72,5,2,4,5.72,10.17,7.35
"5",9.65,11.96,9.23,8.86,9.38,4,2,5,8.86,11.96,9.82
"6",6.23,6.54,6.54,6.47,6.29,1,3,5,6.23,6.54,6.41
"7",12.82,14.97,10.57,10.42,10.65,4,2,5,10.42,14.97,11.89
"8",16.23,21.31,17.66,14.72,23.27,4,5,1,14.72,23.27,18.64
"9",13.17,15.8,13.79,10.67,12.31,4,2,1,10.67,15.8,13.15
"10",10.43,11.32,35.23,10.67,11.69,1,3,1,10.43,35.23,15.87
"11",6.66,9.92,23.37,8.14,11.28,1,3,1,6.66,23.37,11.87
"12",8.71,10.91,16.01,9.59,17.13,1,5,1,8.71,17.13,12.47
"13",5.88,6.57,9.55,6.55,7.66,1,3,1,5.88,9.55,7.24
"14",8.47,10.61,9.26,8.37,7.93,5,2,5,7.93,10.61,8.93
"15",8.17,8.6,8.59,8.42,9.32,1,5,1,8.17,9.32,8.62
"16",8.17,8.65,7.89,7.89,5.53,5,2,5,5.53,8.65,7.63
"17",7.88,11.18,9.4,8.18,8.1,1,2,5,7.88,11.18,8.95
"18",6.94,8.85,10.1,5.9,8.86,4,3,5,5.9,10.1,8.13
"19",23.51,39.28,35.29,25.71,37.18,1,2,1,23.51,39.28,32.19
"20",16.34,25.45,18.62,15.82,43.44,4,5,1,15.82,43.44,23.94
"21",13.67,26.7,36.02,19.51,32.72,1,3,1,13.67,36.02,25.72
"22",12.17,22.26,16.6,14.84,21.75,1,2,1,12.17,22.26,17.52
"23",11.61,14.94,14.17,19.43,17,1,4,1,11.61,19.43,15.43
"24",13.94,14.6,17.14,14.71,16.71,1,3,1,13.94,17.14,15.42
"25",46.74,49.69,49.22,49.34,57.6,1,5,1,46.74,57.6,50.52
"26",23.42,24.2,26.39,26.02,25.02,1,3,1,23.42,26.39,25.01
"27",15.32,14.92,16.39,13.88,14.39,4,3,1,13.88,16.39,14.98
"28",6.07,7.33,8.13,6.73,7.1,1,3,1,6.07,8.13,7.07
"29",26.25,31.86,31.89,29.96,32.35,1,5,1,26.25,32.35,30.46
"30",7.29,7.55,11.96,7.83,7.41,1,3,1,7.29,11.96,8.41
"31",29.78,29.86,38.73,30.97,49.52,1,5,1,29.78,49.52,35.77
"32",15.14,15.09,15.56,15.27,20.09,2,5,1,15.09,20.09,16.23
"33",13.99,13.34,13.75,13.9,17.33,2,5,5,13.34,17.33,14.46
"34",10.16,11.79,11.48,9.43,13.37,4,5,1,9.43,13.37,11.25
"35",10.13,13.06,10.71,9.32,12.48,4,2,1,9.32,13.06,11.14
"36",8.12,8.77,8.95,8.16,12.62,1,5,1,8.12,12.62,9.33
"37",9.99,13.84,14.42,8.78,12.04,4,3,1,8.78,14.42,11.82
"38",15.81,17.15,15.78,16.95,17.44,3,5,1,15.78,17.44,16.63
"39",8.3,10.5,12.74,8.77,16.61,1,5,1,8.3,16.61,11.38
"40",8.84,9.81,13.34,8.4,13.27,4,3,1,8.4,13.34,10.73
"41",17.32,18.81,18.09,17.82,17.51,1,2,5,17.32,18.81,17.91
"42",13.16,13.98,12.46,12.37,12.81,4,2,5,12.37,13.98,12.95
"43",26.39,35.83,31.6,24.4,34.27,4,2,1,24.4,35.83,30.5
"44",25.12,25.66,26.21,24.7,27.31,4,5,1,24.7,27.31,25.8
"45",32.48,29.79,29.93,29.93,29.78,5,1,1,29.78,32.48,30.38
"46",23.68,26.7,36.54,18.24,30.57,4,3,1,18.24,36.54,27.15
"47",23.93,25.29,32.62,24.86,37.51,1,5,1,23.93,37.51,28.84
"48",18.19,18.45,18.91,18.45,17.02,5,3,5,17.02,18.91,18.2
"49",24.11,26.17,24.88,24.7,26.45,1,5,1,24.11,26.45,25.26
"50",9.89,12.26,10.38,10.41,11.94,1,2,1,9.89,12.26,10.98
"51",14.91,14.26,14.38,22.25,14.3,2,4,1,14.26,22.25,16.02
"52",6.18,8.32,8.26,7.29,9.11,1,5,1,6.18,9.11,7.83
"53",6.6,7.24,6.46,7.17,3.92,5,2,5,3.92,7.24,6.28
"54",12.73,14.06,14.46,12.63,9.23,5,3,5,9.23,14.46,12.62
"55",7.38,7.68,8.23,11.59,4.7,5,4,5,4.7,11.59,7.92
"56",5.38,5.42,5.44,5.95,2.66,5,4,5,2.66,5.95,4.97
"57",3.41,5.07,5.19,3.59,3.88,1,3,1,3.41,5.19,4.23
"58",10.53,14.93,16.4,9.39,4.35,5,3,5,4.35,16.4,11.12
"59",64.94,73.37,93.55,67.87,5.13,5,3,5,5.13,93.55,60.97
"60",9.11,8.78,5,12.34,3.83,5,4,1,3.83,12.34,7.81
"61",12.37,14.75,11.97,22.79,8.87,5,4,5,8.87,22.79,14.15
"62",22.57,37.72,35.56,23.82,40.03,1,5,5,22.57,40.03,31.94
"63",11.53,12.83,12.59,12.61,11.51,5,2,5,11.51,12.83,12.21
"64",7.32,7.91,7.56,10.39,6.92,5,4,1,6.92,10.39,8.02
"65",15.64,16.16,24.19,16.17,14.65,5,3,5,14.65,24.19,17.36
"66",3.4,4.88,4.94,5.56,3.69,1,4,1,3.4,5.56,4.49
"67",28.45,32.58,28.23,28.87,16.82,5,2,5,16.82,32.58,26.99
"68",8.96,11.01,9.18,8.99,4.04,5,2,5,4.04,11.01,8.44
"69",48.72,56.45,48.88,48.64,21.01,5,2,5,21.01,56.45,44.74
"70",29.47,34.58,32.48,55,15.93,5,4,5,15.93,55,33.49
"71",28.71,29.38,21.74,30.14,21.19,5,4,5,21.19,30.14,26.23
"72",8.66,8.58,8.75,8.32,13.29,4,5,5,8.32,13.29,9.52
"73",28.12,26.75,35.83,25,12.34,5,3,5,12.34,35.83,25.61
"74",10.37,14.04,10.47,16.66,26.88,1,5,1,10.37,26.88,15.68
"75",4.84,7.55,7.15,4.7,6.62,4,2,1,4.7,7.55,6.17
"76",11.98,13.95,16.26,19.16,15.74,1,4,4,11.98,19.16,15.42
"77",0.88,3.53,0.64,0.72,6.04,3,5,1,0.64,6.04,2.36
"78",11.28,12.08,11.82,11.14,12.98,4,5,4,11.14,12.98,11.86
"79",7.58,10.84,10.14,11.31,7.02,5,4,1,7.02,11.31,9.38
"80",8.58,10.13,8.56,66.33,10.99,3,4,1,8.56,66.33,20.92
"81",23.64,40.76,41.24,29.15,46.07,1,5,1,23.64,46.07,36.17
"82",12.42,32.29,35.22,16.49,46.19,1,5,5,12.42,46.19,28.52
"83",9.56,13.39,12.33,10.4,11.85,1,2,1,9.56,13.39,11.51
"84",2.66,2.55,2.52,4.01,9.51,3,5,1,2.52,9.51,4.25
"85",10.91,12,13.6,18.05,18.7,1,5,1,10.91,18.7,14.65
"86",8.59,20.98,24.61,13.2,26.09,1,5,1,8.59,26.09,18.69
"87",14.6,15.37,14.08,18.35,25.14,3,5,1,14.08,25.14,17.51
"88",5.65,8.35,7.6,6.67,6.33,1,2,1,5.65,8.35,6.92
"89",8.05,8.83,8.31,11.58,14.94,1,5,1,8.05,14.94,10.34
"90",4.96,6.11,6.26,7.38,6.86,1,4,1,4.96,7.38,6.31
"91",1.39,2.56,4.72,4.56,2.3,1,3,1,1.39,4.72,3.11
"92",3.13,3.04,2.49,4.61,3.27,3,4,1,2.49,4.61,3.31
"93",76.94,65.71,63.55,63.85,71.64,3,1,1,63.55,76.94,68.34
"94",9.08,11.93,9.67,23.08,9.7,1,4,1,9.08,23.08,12.69
"95",22.37,31.12,28.46,20.53,22.6,4,2,1,20.53,31.12,25.02
"96",43.16,47.84,44.78,42.71,52.7,4,5,1,42.71,52.7,46.24
"97",7.99,10.82,8.29,7.88,10.2,4,2,4,7.88,10.82,9.04
"98",23.3,25.95,25.93,22.9,26.51,4,5,1,22.9,26.51,24.92
"99",18.9,18.78,18.78,18.79,19.03,3,5,5,18.78,19.03,18.85
"100",5.02,5.75,5.04,3.85,7.34,4,5,1,3.85,7.34,5.4
"101",2.94,3.49,3.3,2.74,2.19,5,2,5,2.19,3.49,2.93
"102",37.54,35.27,37.75,35.08,24.07,5,3,5,24.07,37.75,33.94
"103",100.08,95.26,94.86,88.8,58.91,5,1,1,58.91,100.08,87.58
"104",27.54,24.95,29.47,59.4,7.8,5,4,5,7.8,59.4,29.83
